enrollment_id,employee_id,course_id,enrollment_date,completion_status,completion_percentage,completed_at,score,time_spent
1,EMP181,C14,2024-05-25 19:23:08,Completed,100.0,2024-09-11 11:34:43,94.63084788677456,15.705828015468564
2,EMP059,C15,2024-03-15 04:56:03,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
3,EMP130,C02,2024-05-24 09:52:08,Completed,100.0,2024-03-14 07:05:49,83.49639753184407,54.38062161778239
4,EMP177,C11,2024-03-01 06:29:08,Completed,100.0,2024-06-15 21:45:55,81.8968633136845,22.31519559911064
5,EMP186,C15,2024-01-14 22:17:50,In Progress,26.719091594842524,2024-01-01 03:03:58,24.34943412525325,58.10001875495028
6,EMP157,C08,2024-09-27 23:01:17,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
7,EMP196,C14,2024-07-08 21:16:53,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
8,EMP089,C03,2024-03-09 16:15:14,Completed,100.0,2024-02-24 02:35:30,79.0067852822024,475.69741811479537
9,EMP070,C13,2024-05-04 16:42:13,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
10,EMP172,C15,2024-07-29 12:21:52,In Progress,38.42791872290331,2024-01-01 03:03:58,29.647554059082864,52.42871183289515
11,EMP063,C09,2024-01-14 22:58:46,Completed,100.0,2024-09-20 08:23:52,85.96521586677977,474.4244844723115
12,EMP023,C08,2024-08-28 15:50:17,Completed,100.0,2024-02-15 21:46:34,74.12692930570653,603.7796913220033
13,EMP169,C02,2024-01-18 23:35:48,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
14,EMP190,C04,2024-06-28 23:23:20,In Progress,30.85039309703969,2024-01-01 03:03:58,28.119201772254176,209.85680489425215
15,EMP047,C07,2024-05-14 04:08:14,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
16,EMP064,C02,2024-09-04 14:50:10,Completed,100.0,2024-03-29 19:34:20,73.60190548227484,292.0407845402184
17,EMP164,C08,2024-06-22 04:42:31,Completed,100.0,2024-01-08 22:38:29,79.01591356525152,622.4620529988879
18,EMP096,C05,2024-10-05 12:20:15,Completed,100.0,2024-09-07 21:47:04,99.84699981423378,63.664223869412176
19,EMP073,C13,2024-05-21 10:59:32,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
20,EMP005,C13,2024-08-20 05:01:42,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
21,EMP161,C10,2024-09-17 05:59:32,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
22,EMP187,C11,2024-08-09 02:49:08,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
23,EMP077,C08,2024-06-23 22:04:42,In Progress,31.333595077996165,2024-01-01 03:03:58,24.33870574009777,99.00565585347596
24,EMP160,C03,2024-08-09 17:01:49,In Progress,98.1277837476688,2024-01-01 03:03:58,51.57961905279791,445.3739166694218
25,EMP066,C08,2024-10-03 20:58:22,Completed,100.0,2024-06-02 14:12:30,82.03348562786792,535.7259707103924
26,EMP124,C14,2024-07-28 02:50:07,In Progress,37.26137946199843,2024-01-01 03:03:58,19.75409409023743,208.4000258680038
27,EMP134,C05,2024-05-30 21:42:10,In Progress,58.34291071547265,2024-01-01 03:03:58,37.32774759531527,296.8892843582535
28,EMP014,C11,2024-06-30 13:18:58,Completed,100.0,2024-09-20 13:27:58,89.36226362311592,295.25316038571225
29,EMP192,C07,2024-05-02 14:05:21,In Progress,61.954949958688765,2024-01-01 03:03:58,43.887265465266736,285.2168327704498
30,EMP085,C08,2024-06-21 00:42:03,Completed,100.0,2024-02-27 13:23:54,74.22487563282257,191.5330677693507
31,EMP022,C02,2024-02-22 19:20:29,In Progress,86.5062798608279,2024-01-01 03:03:58,76.40549722676907,566.7838389283359
32,EMP031,C08,2024-07-26 15:08:21,In Progress,60.3077101082054,2024-01-01 03:03:58,52.28683886288673,281.6257693064647
33,EMP154,C13,2024-06-29 21:44:10,In Progress,71.94289888059498,2024-01-01 03:03:58,63.45911007285428,484.2125607345316
34,EMP007,C07,2024-06-17 19:06:39,Not Started,0.0,2024-01-01 03:03:58,0.0,0.0
35,EMP170,C09,2024-03-15 20:17:35,In Progress,25.25621439166465,2024-01-01 03:03:58,23.309021599791304,29.30890150203769
36,EMP186,C03,2024-06-26 17:23:56,In Progress,49.91754042242515,2024-01-01 03:03:58,35.93328893065136,61.626153357126114
