enrollment_id,employee_id,course_id,enrollment_date,completion_status,completion_percentage,completed_at,score,time_spent
1,EMP181,C14,2024-05-25 19:23:08,Completed,100.0,2024-09-11 11:34:43,94.63084788677457,15.705828015468565
2,EMP059,C15,2024-03-15 04:56:03,Not Started,0.0,,0.0,0.0
3,EMP130,C02,2024-05-24 09:52:08,Completed,100.0,2024-03-14 07:05:49,83.49639753184407,54.38062161778239
4,EMP177,C11,2024-03-01 06:29:08,Completed,100.0,2024-06-15 21:45:55,81.8968633136845,22.31519559911064
5,EMP186,C15,2024-01-14 22:17:50,In Progress,26.719091594842524,,24.34943412525325,58.10001875495028
6,EMP157,C08,2024-09-27 23:01:17,Not Started,0.0,,0.0,0.0
7,EMP196,C14,2024-07-08 21:16:53,Not Started,0.0,,0.0,0.0
8,EMP089,C03,2024-03-09 16:15:14,Completed,100.0,2024-02-24 02:35:30,79.0067852822024,475.69741811479537
9,EMP070,C13,2024-05-04 16:42:13,Not Started,0.0,,0.0,0.0
10,EMP172,C15,2024-07-29 12:21:52,In Progress,38.42791872290331,,29.647554059082864,52.42871183289515
11,EMP063,C09,2024-01-14 22:58:46,Completed,100.0,2024-09-20 08:23:52,85.96521586677977,474.4244844723115
12,EMP023,C08,2024-08-28 15:50:17,Completed,100.0,2024-02-15 21:46:34,74.12692930570653,603.7796913220033
13,EMP169,C02,2024-01-18 23:35:48,Not Started,0.0,,0.0,0.0
14,EMP190,C04,2024-06-28 23:23:20,In Progress,30.85039309703969,,28.119201772254176,209.85680489425218
15,EMP047,C07,2024-05-14 04:08:14,Not Started,0.0,,0.0,0.0
16,EMP064,C02,2024-09-04 14:50:10,Completed,100.0,2024-03-29 19:34:20,73.60190548227484,292.0407845402184
17,EMP164,C08,2024-06-22 04:42:31,Completed,100.0,2024-01-08 22:38:29,79.01591356525152,622.4620529988879
18,EMP096,C05,2024-10-05 12:20:15,Completed,100.0,2024-09-07 21:47:04,99.84699981423378,63.664223869412176
19,EMP073,C13,2024-05-21 10:59:32,Not Started,0.0,,0.0,0.0
20,EMP005,C13,2024-08-20 05:01:42,Not Started,0.0,,0.0,0.0
21,EMP161,C10,2024-09-17 05:59:32,Not Started,0.0,,0.0,0.0
22,EMP187,C11,2024-08-09 02:49:08,Not Started,0.0,,0.0,0.0
23,EMP077,C08,2024-06-23 22:04:42,In Progress,31.333595077996165,,24.33870574009777,99.00565585347596
24,EMP160,C03,2024-08-09 17:01:49,In Progress,98.1277837476688,,51.57961905279791,445.3739166694218
25,EMP066,C08,2024-10-03 20:58:22,Completed,100.0,2024-06-02 14:12:30,82.03348562786792,535.7259707103924
26,EMP124,C14,2024-07-28 02:50:07,In Progress,37.26137946199843,,19.75409409023743,208.4000258680038
27,EMP134,C05,2024-05-30 21:42:10,In Progress,58.34291071547265,,37.32774759531527,296.8892843582535
28,EMP014,C11,2024-06-30 13:18:58,Completed,100.0,2024-09-20 13:27:58,89.36226362311592,295.25316038571225
29,EMP192,C07,2024-05-02 14:05:21,In Progress,61.954949958688765,,43.887265465266736,285.2168327704498
30,EMP085,C08,2024-06-21 00:42:03,Completed,100.0,2024-02-27 13:23:54,74.22487563282257,191.5330677693507
31,EMP022,C02,2024-02-22 19:20:29,In Progress,86.5062798608279,,76.40549722676907,566.7838389283359
32,EMP031,C08,2024-07-26 15:08:21,In Progress,60.3077101082054,,52.28683886288673,281.6257693064647
33,EMP154,C13,2024-06-29 21:44:10,In Progress,71.94289888059498,,63.45911007285428,484.2125607345316
34,EMP007,C07,2024-06-17 19:06:39,Not Started,0.0,,0.0,0.0
35,EMP170,C09,2024-03-15 20:17:35,In Progress,25.25621439166465,,23.309021599791304,29.30890150203769
36,EMP186,C03,2024-06-26 17:23:56,In Progress,49.91754042242515,,35.93328893065136,61.626153357126114
37,EMP144,C01,2024-01-18 22:21:10,Completed,100.0,2024-02-10 09:26:55,75.33249497882798,646.9634599624954
38,EMP127,C12,2024-05-09 03:16:15,Completed,100.0,2024-07-06 18:34:45,76.66369336635104,690.3282705666037
39,EMP056,C13,2024-01-17 11:02:40,Not Started,0.0,,0.0,0.0
40,EMP155,C01,2024-08-14 04:53:25,In Progress,80.98980799616554,,53.31760654892781,468.87910460178466
41,EMP102,C13,2024-10-02 08:15:57,Not Started,0.0,,0.0,0.0
42,EMP039,C06,2024-05-15 10:59:43,Completed,100.0,2024-06-08 16:18:14,76.42405718692858,207.83863706140852
43,EMP087,C06,2024-04-29 17:03:57,In Progress,99.53150194735332,,99.21664192630419,137.21173765787918
44,EMP073,C03,2024-01-10 09:52:12,Completed,100.0,2024-02-19 20:42:15,99.65050899342194,469.0457515691871
45,EMP073,C10,2024-08-12 05:10:28,Not Started,0.0,,0.0,0.0
46,EMP187,C01,2024-01-23 20:10:09,In Progress,23.2588105016571,,15.297135015352124,78.93116657534148
47,EMP197,C02,2024-06-16 19:47:55,Completed,100.0,2024-04-16 01:05:23,90.37688438419829,332.27361250137267
48,EMP131,C10,2024-03-16 09:18:17,Not Started,0.0,,0.0,0.0
49,EMP078,C01,2024-04-04 09:15:37,In Progress,86.84117177758941,,86.21581755427744,477.09438493599833
50,EMP141,C07,2024-04-28 03:22:53,Not Started,0.0,,0.0,0.0
51,EMP188,C11,2024-05-29 15:26:01,Completed,100.0,2024-06-17 06:06:14,88.30552714684973,213.0929301884192
52,EMP179,C08,2024-02-02 22:27:11,Completed,100.0,2024-07-29 00:59:21,96.16520413296021,678.6924331967577
53,EMP160,C10,2024-02-28 23:37:16,Completed,100.0,2024-05-27 04:25:50,71.1522500390252,330.7296240637651
54,EMP060,C03,2024-04-29 22:53:13,Completed,100.0,2024-06-01 21:25:36,84.62487909144231,235.22553560569466
55,EMP126,C02,2024-05-28 20:29:13,Not Started,0.0,,0.0,0.0
56,EMP096,C13,2024-07-16 10:25:49,In Progress,97.61895994567216,,68.90306740663391,181.2465628922489
57,EMP132,C04,2024-01-08 09:52:17,In Progress,33.2776206818215,,31.331985606193122,19.381837015044013
58,EMP017,C05,2024-03-31 14:01:08,In Progress,58.771020121982474,,34.80176938786501,207.78714463692046
59,EMP102,C07,2024-03-29 20:33:02,Not Started,0.0,,0.0,0.0
60,EMP055,C02,2024-08-29 07:16:37,In Progress,57.842583410726746,,43.856675488152185,266.29678975541634
61,EMP058,C06,2024-03-19 10:49:28,Not Started,0.0,,0.0,0.0
62,EMP111,C12,2024-03-19 23:38:49,In Progress,84.82409052251059,,66.66223081098194,407.4863054928473
63,EMP119,C11,2024-02-21 18:26:47,Not Started,0.0,,0.0,0.0
64,EMP142,C10,2024-03-24 02:41:45,Not Started,0.0,,0.0,0.0
65,EMP101,C15,2024-04-20 08:21:12,Completed,100.0,2024-02-22 13:04:43,92.9707026591134,274.2859306090855
66,EMP105,C02,2024-08-13 05:09:23,Completed,100.0,2024-05-12 07:12:06,90.44343119625665,583.2076300955562
67,EMP149,C02,2024-06-20 02:31:23,In Progress,77.41760879572175,,56.47459624442828,516.0035924028618
68,EMP006,C02,2024-02-08 17:27:41,Not Started,0.0,,0.0,0.0
69,EMP175,C11,2024-09-17 02:14:48,Not Started,0.0,,0.0,0.0
70,EMP199,C04,2024-03-31 04:42:26,Completed,100.0,2024-01-26 16:30:50,94.46043007411566,462.89923705970455
71,EMP131,C12,2024-07-20 20:40:40,In Progress,78.9086171569719,,41.52875715235721,116.64286606721018
72,EMP123,C12,2024-04-25 02:32:19,Completed,100.0,2024-04-16 08:26:50,74.79402781795417,593.3987164073799
73,EMP115,C12,2024-03-08 15:53:57,Completed,100.0,2024-01-11 22:37:26,86.51132963729677,93.12213926611236
74,EMP127,C14,2024-08-04 02:45:25,Not Started,0.0,,0.0,0.0
75,EMP153,C15,2024-01-23 18:13:26,In Progress,36.88689290843641,,19.624750931527686,224.46378593238924
76,EMP096,C07,2024-07-21 16:40:13,Not Started,0.0,,0.0,0.0
77,EMP097,C06,2024-01-27 11:49:34,Not Started,0.0,,0.0,0.0
78,EMP184,C14,2024-03-10 22:22:01,In Progress,84.81304537010543,,54.61308590326573,583.0605122682273
79,EMP069,C14,2024-02-18 14:35:16,Not Started,0.0,,0.0,0.0
80,EMP147,C03,2024-02-14 09:44:41,In Progress,21.777404601719265,,16.229538033419335,111.94138572995493
81,EMP129,C13,2024-07-13 04:41:49,Not Started,0.0,,0.0,0.0
82,EMP161,C10,2024-08-15 08:18:18,Not Started,0.0,,0.0,0.0
83,EMP058,C15,2024-02-13 05:47:22,Not Started,0.0,,0.0,0.0
84,EMP095,C10,2024-02-05 02:07:29,Completed,100.0,2024-02-19 00:26:43,96.17070921505959,584.757778344738
85,EMP031,C10,2024-03-27 14:19:02,Not Started,0.0,,0.0,0.0
86,EMP141,C09,2024-06-14 16:50:03,Not Started,0.0,,0.0,0.0
87,EMP127,C14,2024-01-02 22:21:17,Not Started,0.0,,0.0,0.0
88,EMP054,C11,2024-08-15 00:24:17,In Progress,42.95885684006083,,33.77710580885874,230.0935965589643
89,EMP168,C10,2024-06-20 07:57:36,In Progress,85.53952997909424,,79.64579903062786,252.16729565295532
90,EMP176,C03,2024-05-10 11:08:37,Completed,100.0,2024-10-02 21:57:16,96.02298517430536,501.47405020926976
91,EMP003,C04,2024-01-26 18:53:38,In Progress,67.7775981845334,,49.55293946420675,214.62824937586404
92,EMP183,C06,2024-08-18 02:09:57,Completed,100.0,2024-09-19 13:46:40,93.96119563052105,616.3773148810562
93,EMP060,C07,2024-02-07 11:34:10,Completed,100.0,2024-04-21 03:53:51,78.88146224729353,354.12448861945506
94,EMP053,C06,2024-01-19 15:59:32,In Progress,70.21775331849784,,42.70265821250802,91.9622302197596
95,EMP178,C02,2024-03-20 16:21:10,Completed,100.0,2024-01-17 21:30:09,74.88728488914073,157.51464943985118
96,EMP092,C03,2024-06-17 08:46:11,Completed,100.0,2024-06-07 13:38:04,73.2310754463672,295.16861406382816
97,EMP009,C02,2024-08-13 05:43:22,Completed,100.0,2024-09-10 05:05:58,78.37534877657113,719.7971799949775
98,EMP008,C15,2024-09-30 05:50:58,In Progress,58.324669350052325,,43.27739267569778,350.7016156554949
99,EMP153,C06,2024-04-30 09:28:25,Completed,100.0,2024-03-07 00:59:42,87.29078320444263,540.9109277426325
100,EMP113,C02,2024-03-19 02:39:55,Not Started,0.0,,0.0,0.0
101,EMP179,C10,2024-01-14 20:20:22,In Progress,66.0153923097135,,36.62131992845313,80.26998382549286
102,EMP020,C06,2024-02-09 04:02:43,In Progress,47.49430995876226,,41.616667852593366,62.8669693915874
103,EMP002,C05,2024-01-19 12:26:21,Not Started,0.0,,0.0,0.0
104,EMP154,C10,2024-03-17 05:48:10,In Progress,90.32892930972336,,54.23642615280125,122.56581309847678
105,EMP185,C05,2024-02-20 21:21:52,In Progress,40.32643364485276,,35.18707623116352,202.08713981614105
106,EMP003,C01,2024-08-12 15:28:00,Not Started,0.0,,0.0,0.0
107,EMP114,C05,2024-04-21 15:04:25,In Progress,44.21462392274083,,33.79311041996541,311.7934366471234
108,EMP163,C07,2024-01-21 22:49:50,Not Started,0.0,,0.0,0.0
109,EMP167,C08,2024-08-02 01:46:42,Completed,100.0,2024-08-20 03:39:17,74.3469124396445,152.5015905049967
110,EMP077,C12,2024-06-02 05:10:28,Completed,100.0,2024-02-27 11:39:47,95.64055618932875,122.74529583413639
111,EMP184,C01,2024-05-07 19:29:27,In Progress,99.31259683712732,,80.90661962441095,49.521079681414726
112,EMP195,C07,2024-02-24 03:43:55,Not Started,0.0,,0.0,0.0
113,EMP169,C04,2024-04-20 08:32:05,In Progress,31.663429081750785,,28.968283900870727,133.57248526932443
114,EMP085,C15,2024-06-06 17:15:15,Not Started,0.0,,0.0,0.0
115,EMP098,C15,2024-07-15 17:16:05,Completed,100.0,2024-06-13 01:42:48,78.14251486799841,98.81661533707839
116,EMP182,C01,2024-07-12 18:20:01,Not Started,0.0,,0.0,0.0
117,EMP112,C07,2024-04-20 22:46:22,In Progress,36.02108734748345,,26.891540954102048,213.78570296543472
118,EMP039,C02,2024-09-28 09:38:14,Completed,100.0,2024-02-14 17:39:34,87.07575496005094,79.26671194202169
119,EMP160,C03,2024-06-06 08:40:17,Completed,100.0,2024-08-09 08:52:12,86.52117854699517,61.04365638741989
120,EMP008,C08,2024-06-14 15:04:39,In Progress,85.99547952453821,,67.37625278430099,155.16672290803123
121,EMP185,C09,2024-02-27 00:53:54,Completed,100.0,2024-01-19 11:02:23,74.00091363140372,322.6503986134903
122,EMP194,C03,2024-09-13 08:03:00,Not Started,0.0,,0.0,0.0
123,EMP141,C08,2024-04-05 03:29:08,Completed,100.0,2024-05-29 19:06:53,92.05619955480252,649.1640957295241
124,EMP087,C10,2024-05-21 21:52:23,In Progress,29.635063527976254,,21.80532796191073,112.63088515213586
125,EMP010,C01,2024-06-08 00:47:47,Not Started,0.0,,0.0,0.0
126,EMP170,C11,2024-01-27 20:59:26,Not Started,0.0,,0.0,0.0
127,EMP127,C11,2024-07-21 22:21:34,In Progress,55.92915264312974,,45.54289252586873,255.53271068102595
128,EMP190,C02,2024-08-16 21:21:51,Completed,100.0,2024-08-29 03:54:54,88.35329103605162,581.3572042988463
129,EMP057,C03,2024-02-17 19:22:44,In Progress,73.71399385591124,,70.74724714755884,321.68892225389044
130,EMP187,C03,2024-05-27 08:22:13,Not Started,0.0,,0.0,0.0
131,EMP116,C13,2024-09-21 06:17:39,Completed,100.0,2024-07-15 00:48:29,89.09323080885008,99.3187123700326
132,EMP051,C05,2024-08-10 16:07:00,Completed,100.0,2024-09-18 00:57:07,89.6893653263687,376.72936406915795
133,EMP024,C01,2024-09-02 07:16:08,In Progress,27.066612194253576,,20.869205494432563,72.76583261104267
134,EMP161,C10,2024-06-24 02:27:22,Not Started,0.0,,0.0,0.0
135,EMP194,C06,2024-09-17 03:08:41,Not Started,0.0,,0.0,0.0
136,EMP179,C12,2024-04-20 15:00:04,In Progress,95.89327989959426,,59.82688679869349,686.8414931095243
137,EMP015,C14,2024-06-16 08:49:12,In Progress,70.38215630100345,,58.82654239730206,427.47797698094405
138,EMP008,C02,2024-04-05 09:29:25,Completed,100.0,2024-09-13 12:16:01,83.56031678726983,339.96490917993367
139,EMP113,C14,2024-08-28 08:31:56,Completed,100.0,2024-01-12 21:48:03,96.11108000120555,624.2516750042711
140,EMP045,C11,2024-04-24 05:40:31,In Progress,81.82940503706126,,48.1708585110547,391.96435781255883
141,EMP031,C05,2024-04-21 18:19:46,Not Started,0.0,,0.0,0.0
142,EMP181,C07,2024-05-16 21:50:38,Not Started,0.0,,0.0,0.0
143,EMP121,C14,2024-08-12 22:36:02,Not Started,0.0,,0.0,0.0
144,EMP093,C06,2024-08-01 14:28:25,In Progress,38.54975991798406,,29.32956787537953,14.889173002245505
145,EMP188,C14,2024-06-17 20:04:23,Not Started,0.0,,0.0,0.0
146,EMP163,C14,2024-08-02 19:05:00,Completed,100.0,2024-07-02 13:27:53,84.62357247520035,203.89853364723123
147,EMP163,C07,2024-08-07 02:13:01,Not Started,0.0,,0.0,0.0
148,EMP133,C09,2024-08-26 21:13:39,Completed,100.0,2024-04-06 17:49:49,78.44367612312945,619.1667480804919
149,EMP196,C02,2024-04-07 08:52:38,Completed,100.0,2024-05-11 18:47:22,76.64260063843014,135.8334806578825
150,EMP103,C14,2024-03-05 23:27:59,Not Started,0.0,,0.0,0.0
