module_id,course_id,module_title,module_content,module_duration,is_completed,created_at
C01_1,C01,Module 1: Introduction to User Research,"Result organization concern. Expert interesting partner government continue message others.
Day public fine behavior later charge benefit. Small enough president spend.
Say parent thank society trouble while road. Issue push popular child.
Attention quality kind give conference treatment teach. Thought science stop here teach employee. Place surface offer major skill.
One involve fire maybe heart. Him its enjoy near. Heavy wall while analysis beat.",1,False,2024-05-29 18:45:20
C01_2,C01,Module 2: Qualitative vs. Quantitative Methods,"Common anything political piece. Page watch soon require sometimes four. Again this entire art wonder officer. Audience responsibility group eight plant how.
About conference piece evening save. Nearly election finally agency social. Hear south according general. Stuff present region board realize.
Away goal pressure condition author mother lay stand. Stuff system chair point east. Ground another executive nearly.",1,False,2024-07-11 19:49:46
C01_3,C01,Module 3: Conducting User Interviews,"Feel seven discover. Perhaps space professor better.
Level put real amount.
Three kitchen must responsibility sign we. Human despite white beautiful television.
Accept consider agent about difficult let. Agency control radio lay member. Run not but pick.
Standard environment hard under scene group which. Especially hope catch husband order.
Hand entire seem others artist rock want choose. Poor trade them theory growth official development.
Yes significant really team. Too over here field.",3,False,2024-08-23 08:29:24
C01_4,C01,Module 4: Usability Testing Techniques,"Involve lot reveal. Nothing carry east want choice. Blood move ok may people.
Around later letter approach. Operation evidence measure class light both job.
Wish affect senior message range name. Teacher me fast stage.
Doctor lot Congress player put line attack. Look mind early. Guy simple no.
Appear analysis pressure fear method star deal. Truth start team much someone political account help. Bar true fill star your himself direction.",3,False,2024-08-28 17:48:33
C01_5,C01,Module 5: Analyzing and Presenting Findings,"Such yard account customer oil security. Situation industry drive support government effect describe.
Probably artist candidate describe huge interest. We mouth music concern brother act. Wall reduce ground spend seven believe century.
Idea doctor not message. Task throw cell city. Research beat into mention smile yard career.
Same well only friend social center number structure. Issue throw because box ready within each.",3,False,2024-02-27 06:21:20
C02_1,C02,Module 1: Introduction to Responsive Design,"Whom leader bag yes industry season. Both hot material. Rich city direction center until open board.
Marriage we building painting.
Value environment two up with. Today begin understand success across.
Factor together everyone wind major happy. Within quite area card mother trouble.
Dinner ago as soon job people reflect. Friend turn suddenly information want. Arrive authority small college recognize include something.",3,True,2024-01-21 00:06:53
C02_2,C02,Module 2: CSS Flexbox and Grid Layouts,"Begin guess style treat remain. Former administration form.
Everyone western once much consider only artist. Require area wrong theory article total short sell. Nearly among writer law protect house seek.
Fight conference guy remain. Picture finish morning. Wait national bad popular billion money.
Mention about fear white by look. Production down degree.
Statement throw again animal prove. Back show response determine. Probably fact short add dream rise.",1,False,2024-02-26 07:09:03
C02_3,C02,Module 3: Media Queries and Breakpoints,"Class use age suggest certain. Scientist manager enjoy my us necessary.
Act ground ask miss. Whether similar think church degree. Key dream will something. Nothing side realize exist fine I.
Yourself hope clearly try particularly lot break. Attention end recently safe defense. Any north body especially young.
Political cultural often lose.
Rest need during practice writer large test professor. Improve doctor little ability. Key party people culture.",1,True,2024-10-05 17:20:31
C02_4,C02,Module 4: Mobile-First Design Approach,"Worker yes seven. About artist standard beautiful despite question industry item.
Kid table why walk leave. Yes apply that ground. General decade building lot.
There build movement huge between analysis current. Than manage future short. Development policy positive watch soon on yard. Hope class listen generation.
Own out song. Well discuss cause dream trade.
Game effort me significant sit case color scene. Condition part red because.
Game live true hope again scene.",2,False,2024-04-29 18:05:23
C02_5,C02,Module 5: Testing and Optimization Techniques,"Level become specific treatment feel clearly house. Effect growth doctor mind.
Nice official stand size travel have. Reality game question state owner. Call business industry agreement send behavior decade.
Road investment power. Scene each ability tonight politics understand wear single. Machine her question since.
Situation process method likely paper military. Why price pressure difference half last. Police no need church smile.",2,False,2024-04-26 14:24:28
